,Unnamed: 0_level_0,Invoice information,Invoice information,Invoice information,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Standing charges,Standing charges,Site charges,Site charges,Distribution availability charge,Distribution availability charge,Distribution availability charge,Distribution fixed charge,Distribution fixed charge,Distribution fixed charge,Data collection,Data collection,Data collection,Settlement agency,Settlement agency,Settlement agency,Network Usage,Network Usage,Network Usage,Network Usage,Network Usage,Carbon Tax,Carbon Tax,Carbon Tax,Reactive power,Reactive power,Reactive power,Reconciliation,VAT,Total Charge (£),Total Charge (£),Total Charge (£),Total Charge (£)
,Unnamed: 0_level_1,start_date,end_date,mpan,Amber - Charge (£),Amber - Charge rate (£/kWh),Amber - Consumption (kWh),Green - Charge (£),Green - Charge rate (£/kWh),Green - Consumption (kWh),Red - Charge (£),Red - Charge rate (£/kWh),Red - Consumption (kWh),Day - Charge (£),Day - Charge rate (£/kWh),Day - Consumption (kWh),Night - Charge (£),Night - Charge rate (£/kWh),Night - Consumption (kWh),Charge rate (£/Days),Charge (£),Charge rate (£/Days),Charge (£),Charge rate (£/kVA),Charge (£),Consumption (kVA),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/kVA),Charge (£),Consumption (kVA),Forecast TRIAD,MD%,Consumption (kW),Charge rate (£/kW),Charge (£),Charge rate (£/kWh),Consumption (kWh),Charge (£),Charge rate (£/kW),Charge (£),Consumption (kW),Charge (£),Charge (£),Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1
10,10,2023-01-01,2023-01-31,1928,74.92,0.00518,14462.9,9.18,0.00051,18002.3,93.1,0.02584,3602.8,4025.92,0.143147,28124.39,1103.39,0.11588,9521.84,0.657534,20.38,0.07286,2.26,0.4433,59.85,135.010151139183,6.2088,192.47,30.9995490271872,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,7.65,51.83943,396.57,0.00775,"36,068",279.53,0.0,0.0,0.0,10.96,1253.69,7544.08,,,
11,11,2023-02-01,2023-02-28,5647,268.83,0.00336,80008.7,11.5,0.00034,33836.3,316.79,0.01763,17968.9,17918.19,0.145738,122947.96,1464.83,0.118845,12325.52,0.657534,18.41,0.07286,2.04,0.4928,1061.98,2154.99188311688,272.4772,7629.36,27.9999941279491,1.3643836,38.2,27.9979911807794,0.02302,0.64,27.8019113814075,-,85.00%,118.14,51.83943,6124.31,0.00775,"118,632.51",919.4,0.00043,8.19,19046.511627907,1024.08,6823.04,43629.79,,,
12,12,2022-01-01,2022-01-31,1928,209.49,0.01482,14135.5,245.34,0.01075,22822.6,149.58,0.03758,3980.0,3349.5,0.10707,31283.23,1053.96,0.091951,11462.17,,,,,,,,,,,,,,,,,,,,,,0.00775,,,,,,,,,,,
13,13,2023-04-01,2023-04-30,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.36,0.256655,1053.4,0.0,0.0,0.0,0.320499,9.61,0.086501,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,30.0087873462214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,053.4",8.16,0.0,0.0,0.0,0.0,60.88,365.27,,,
14,14,2023-04-01,2023-04-30,1928,56.92,0.00642,8865.9,13.88,0.00091,15255.5,57.83,0.02458,2352.6,3970.2,0.203025,19555.21,1269.58,0.157119,8080.35,0.657534,19.73,0.072661,2.18,0.468,63.18,135.0,5.3465,160.4,30.0009351912466,0.6821918,20.47,30.0062240560499,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"26,474",205.17,0.0,0.0,0.0,0.0,1204.56,7044.79,,,
15,15,2023-04-01,2023-04-30,5647,280.45,0.00419,66932.3,21.07,0.00059,35707.5,212.54,0.01652,12865.7,21166.35,0.201378,105107.56,2095.59,0.159429,13144.35,0.657534,19.73,0.072661,2.18,0.564,1215.42,2155.0,235.4806,7064.42,30.0000084932687,1.3643836,40.93,29.9988947389869,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"103,954.95",805.65,0.00043,4.6,10697.6744186047,0.0,7641.35,40570.97,,,
16,16,2023-05-01,2023-05-31,1928,56.38,0.00642,8781.2,11.06,0.00091,12151.2,61.75,0.02458,2512.1,3622.39,0.203025,17842.08,1041.63,0.157119,6629.55,0.657534,20.38,0.072661,2.25,0.4836,65.29,135.008271298594,5.3465,165.74,30.999719442626,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"23,444.5",181.69,0.0,0.0,0.0,75.44,1072.73,6398.59,,,
17,17,2023-05-01,2023-05-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.256655,1040.3,0.0,0.0,0.0,0.320499,9.94,0.086501,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,040.3",8.06,0.0,0.0,0.0,7.1,58.94,367.83,,,
18,18,2023-05-01,2023-05-31,5647,1149.6,0.00419,274367.5,206.43,0.00059,349880.4,1356.02,0.01652,82083.6,111275.37,0.201378,552569.65,27163.57,0.159429,170380.38,0.657534,20.38,0.072661,2.25,0.5828,1255.93,2154.99313658202,235.4806,7299.9,31.0000059452881,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"635,698.35",4926.66,0.00043,1.09,2534.88372093023,341.39,30218.8,185260.4,,,
19,19,2023-06-01,2023-06-30,5647,482.95,0.00419,115262.8,82.97,0.00059,140630.2,450.31,0.01652,27258.5,46690.41,0.201378,231854.59,9243.55,0.159429,57979.08,0.657534,19.73,0.072661,2.18,0.564,1215.42,2155.0,235.4806,7064.42,30.0000084932687,1.3643836,40.93,29.9988947389869,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"254,836.35",1974.98,0.0004,3.97,9925.0,0.0,14012.33,81284.84,,,
20,20,2023-06-01,2023-06-30,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.56,0.256655,1252.9,0.0,0.0,0.0,0.320499,9.61,0.086501,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,30.0087873462214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,252.9",9.71,0.0,0.0,0.0,0.0,71.43,428.57,,,
